bfs_nr_gemeinde;erdoelbrennstoffe;gemeinde_name;jahr;energiebezugsflaeche;total;einwohner;erdgas;andere;uuid;loaded_at
4881;1686.933;Amlikon-Bissegg;2015;113791;1686.933;1320;;;1b8f0517-54c0-4ad4-8552-91b9cbfa5cb3;2025-07-29
4921;2217.241;Bussnang;2015;187360;3151.487;2262;932.375;1.871;b68324ae-119f-4cd4-9de2-337b26f3b487;2025-07-29
4751;2836.259;Rickenbach (TG);2015;227233;4585.831;2766;1745.491;4.081;e7dadbc2-470f-41e9-8023-9c5c0152e32e;2025-07-29
4756;867.692;Schönholzerswilen;2015;72638;867.692;804;;;e9f42b80-ff02-4f2c-9cde-7df168ba37f3;2025-07-29
4696;3593.64;Tägerwilen;2015;348780;6037.877;4377;2444.237;;b83d48f7-9702-4786-bd28-da39b08aed68;2025-07-29
4901;1830.545;Birwinken;2016;105821;1830.545;1337;;;34e9d967-6968-430d-9be7-cdb6b7902972;2025-07-29
4646;2784.534;Ermatingen;2016;315177;5645.731;3302;2861.197;;ac1a59db-d4d3-4c00-b8f5-476c704741fb;2025-07-29
4495;727.352;Hohentannen;2016;55741;727.352;597;;;56728f3e-88f2-4123-b511-0d7fa9847ed0;2025-07-29
4696;3796.521;Tägerwilen;2016;366632;6367.37;4510;2570.848;;ec7a239d-1c2d-428a-add2-0c5f80ae0fdf;2025-07-29
4716;1361.318;Bettwiesen;2017;87837;1616.384;1239;255.067;;ba21b40b-c10d-4daf-af75-d5594059d411;2025-07-29
4561;3334.917;Felben-Wellhausen;2017;202361;3691.629;2790;356.711;;3b682fb6-f67c-40fa-9ec0-db4171472bf0;2025-07-29
4651;394.796;Gottlieben;2017;40339;900.228;348;505.432;;424ef094-7bc5-4327-b375-609c16e35e0e;2025-07-29
4681;1080.364;Langrickenbach;2017;115371;1081.833;1307;1.469;;19c9733f-87ec-4877-879d-557d53ce3225;2025-07-29
4401;17778.822;Arbon;2018;1200595;23763.73;14533;5984.908;;ecf26c36-2454-4673-b766-dd3538521707;2025-07-29
4921;2167.273;Bussnang;2018;202395;3108.845;2342;939.694;1.877;abf868d5-506c-4ef0-90fb-08bde2d7ab8c;2025-07-29
4495;661.596;Hohentannen;2018;57042;661.596;586;;;127846e8-9381-48ea-afe8-213d0477d570;2025-07-29
4741;1497.92;Lommis;2018;98540;1497.92;1211;;;052b9842-c348-4086-b10b-3592d85cd937;2025-07-29
4506;3309.352;Sulgen;2018;342616;6527.779;3842;3218.426;;247d5699-a2c8-4b98-885d-ca67ec518acd;2025-07-29
4951;2255.159;Wigoltingen;2018;213697;3637.546;2447;1382.387;;60932b08-a2a5-4791-84ab-d7ed656aaba6;2025-07-29
4716;1326.22;Bettwiesen;2019;87459;1589.001;1223;262.781;;200651e9-3c7d-4fc4-b6dd-4674d4de6202;2025-07-29
4671;20945.018;Kreuzlingen;2019;1844140;36913.229;22193;15968.211;;6a3f9496-a82f-4f4c-9382-0339b3e7ab6b;2025-07-29
4431;4514.653;Roggwil (TG);2019;268028;5161.803;3082;647.15;;9a6996a0-8aa5-4f3f-80b6-7fd5203bdbd0;2025-07-29
4446;683.097;Sommeri;2019;66334;683.097;608;;;261be3c6-fe81-433c-a5e9-7cd8d16de3a4;2025-07-29
4711;3421.678;Affeltrangen;2020;230587;3936.95;2642;498.117;17.155;87464533-04e0-4535-a1b2-d7ce844b75fc;2025-07-29
4646;2591.102;Ermatingen;2020;346853;5365.14;3638;2774.037;;545a7322-7b2a-4492-93a5-6961c23c316a;2025-07-29
4666;2974.895;Kemmental;2020;246272;3093.259;2592;115.707;2.657;f7ed212c-014a-4fad-8f4b-08ea7ffc027b;2025-07-29
4671;20027.825;Kreuzlingen;2020;1862057;35505.164;22375;15477.339;;6a7ea337-46d9-4f88-bd37-d4801078622e;2025-07-29
4591;2245.188;Matzingen;2020;231222;3730.007;3019;1484.819;;f788dc10-c3e0-4c76-9d5a-9e1b7da79d53;2025-07-29
4851;1802.172;Salenstein;2020;157667;2625.521;1409;819.614;3.734;2398cb75-92df-41ef-9f13-40125c4bae01;2025-07-29
4606;634.158;Stettfurt;2020;103719;1495.796;1217;861.638;;6d0406e3-8078-4355-b76c-ad740a15432f;2025-07-29
4566;18408.855;Frauenfeld;2021;2391756;50919.556;25816;32496.913;13.788;99094542-ac0d-4600-b788-80bc40ed6cd8;2025-07-29
4416;1327.318;Hefenhofen;2021;123879;2181.923;1321;854.605;;07e9b1c3-2205-49c1-9182-6eb4a2a50cc2;2025-07-29
4941;2682.907;Märstetten;2021;235552;4801.686;2891;2118.779;;be47aead-e975-4cb7-998d-b34ed6b59b30;2025-07-29
4401;14921.748;Arbon;2022;1249825;21245.375;15413;6314.386;9.24;32dd9ea6-55f8-48de-ac14-1ebd464f2ff2;2025-07-29
4666;2682.341;Kemmental;2022;260286;2795.442;2722;110.579;2.522;857ec30d-972a-4533-9d7a-270443523e3e;2025-07-29
4751;2371.531;Rickenbach (TG);2022;242611;3982.491;2994;1597.015;13.945;c70c183c-5ef1-46a1-826c-5754e356107e;2025-07-29
4756;758.58;Schönholzerswilen;2022;79010;758.58;883;;;78ad802a-74db-489e-98ad-cd318f239752;2025-07-29
4864;4139.27;Steckborn;2022;361813;6803.294;3989;2662.077;1.947;eda7ec34-d788-41a9-aba5-2bad634fd4b4;2025-07-29
4486;1867.878;Hauptwil-Gottshaus;2023;175136;2674.356;2069;806.478;;b910ed6b-f2b3-49c4-90af-ed98ca10318a;2025-07-29
4643;1771.794;Bottighofen;2015;191134;3159.021;2166;1387.227;;7792c2fc-ba31-43fd-b2cf-6fb724263f7d;2025-07-29
4666;3177.021;Kemmental;2015;223482;3255.702;2385;74.991;3.691;e8264e8b-df23-4e64-87d3-6fd85e309666;2025-07-29
4606;734.134;Stettfurt;2015;96232;1538.899;1164;804.765;;3ce4e695-21b3-4912-8c34-78fc3996d323;2025-07-29
4616;1469.356;Uesslingen-Buch;2015;95577;1469.356;1086;;;c71bf185-38e3-49c9-bb99-222afd769db1;2025-07-29
4451;1547.424;Uttwil;2015;150431;2998.997;1830;1451.573;;05759bfe-0998-4580-9852-c77ed5916953;2025-07-29
4716;1353.945;Bettwiesen;2016;83830;1595.508;1172;241.562;;c6ae1cc3-03e6-46a1-8b0a-3b0e4dabe94f;2025-07-29
4726;3551.41;Fischingen;2016;254732;3551.41;2680;;;798d7a14-aed0-4854-a10b-a76ce97d168b;2025-07-29
4666;3287.306;Kemmental;2016;224860;3369.312;2453;78.14;3.867;f4561ec9-2b3d-4b89-84d9-58e08a899615;2025-07-29
4691;3838.919;Münsterlingen;2016;316226;9063.941;3328;5218.785;6.236;52fd09e6-9992-4256-a9ec-39c1de832674;2025-07-29
4851;1874.904;Salenstein;2016;144608;2692.845;1285;814.184;3.757;4ec73231-c6d2-4459-a0de-b383fe0d5aa6;2025-07-29
4723;827.219;Braunau;2017;63883;827.219;770;;;6fd0ae96-698e-4607-b032-76164ec341ab;2025-07-29
4806;1498.826;Eschenz;2017;149659;2956.545;1754;1457.719;;b84172ac-382f-4d42-bd01-5a2245a0ca3c;2025-07-29
4416;1137.607;Hefenhofen;2017;103985;1839.885;1187;702.278;;ee9e4d6a-de11-4697-b6b7-94f60ade2a4b;2025-07-29
4821;1563.735;Hüttwilen;2017;166325;2306.628;1709;742.893;;546b79fa-45cf-4f07-94b9-5304e09e039a;2025-07-29
4831;2020.787;Müllheim;2017;219520;4493.749;2964;2472.962;;a3e1c538-9082-4aa1-a4f4-ec92483a4557;2025-07-29
4756;897.011;Schönholzerswilen;2017;74270;897.011;848;;;8c15d605-7be3-412c-a428-cd15ebbc27c8;2025-07-29
4951;2396.556;Wigoltingen;2017;208685;3814.386;2429;1417.83;;f9c885ab-05b7-464c-94b2-9ff6aa92d3a9;2025-07-29
4536;2648.723;Basadingen-Schlattingen;2018;166458;2715.242;1833;65.907;0.612;f6a821a6-1357-4db4-804f-fd972e2e8b29;2025-07-29
4406;565.595;Dozwil;2018;50455;733.246;695;167.651;;9dbe247d-f5a3-465d-94c2-bf0adc6e0126;2025-07-29
4831;1951.28;Müllheim;2018;224920;4286.931;2980;2335.651;;dad62cf9-15e4-468d-8536-88d26b4de7b9;2025-07-29
4441;1402.056;Salmsach;2018;107149;2135.602;1443;733.546;;968cb6e2-ffa0-4bf4-a9c0-9333e7b004c5;2025-07-29
4451;1574.292;Uttwil;2018;152677;3010.288;1856;1435.996;;4e3a82fe-d991-42f2-a7af-20c42f939eeb;2025-07-29
4901;1878.685;Birwinken;2019;108927;1878.685;1340;;;e1a9f965-8b3d-4eec-be9b-9a08800e101e;2025-07-29
4545;3833.246;Diessenhofen;2019;353967;6580.782;4029;2746.151;1.384;fc000ff0-d3fa-4450-b5db-8ee1221bb46b;2025-07-29
4561;3253.512;Felben-Wellhausen;2019;204096;3624.14;2858;370.628;;99be9e1d-3668-47f3-9af2-cfb9f7d29ca7;2025-07-29
4651;427.432;Gottlieben;2019;41366;952.104;331;524.672;;d89f0084-9a23-4548-85d8-2af84199e14b;2025-07-29
4656;1675.618;Güttingen;2019;165396;2843.031;1656;1165.395;2.019;a0663dbd-9271-4858-ba83-a4007199f8e1;2025-07-29
4421;2314.82;Horn;2019;245547;4083.106;2898;1768.286;;30608dfb-e5ea-4622-8c57-47675bd5c318;2025-07-29
4746;4952.475;Münchwilen (TG);2019;473590;7821.164;5667;2868.689;;5ddb7e3b-8dd7-4384-9747-96359c0c621e;2025-07-29
4756;881.105;Schönholzerswilen;2019;75657;881.105;846;;;26ed68f2-6753-4a99-b87f-41dbbb7fe9c8;2025-07-29
4611;1640.996;Thundorf;2019;124539;1652.602;1486;11.606;;80b7171b-f7d7-45f9-bdfa-2ddef43f3721;2025-07-29
4801;1096.923;Berlingen;2020;99694;2347.087;907;1249.463;0.701;7530f93d-b0bf-4f9d-832c-b4f8211304fe;2025-07-29
4726;3228.24;Fischingen;2020;276155;3234.51;2831;;6.27;515eae2f-e789-4b2b-9eb8-83e8b63a6709;2025-07-29
4571;3222.975;Gachnang;2020;348486;5414.795;4472;2191.304;0.516;45a45664-7793-4869-8aee-23e4416f51f1;2025-07-29
4811;1354.245;Herdern;2020;99317;1370.871;1114;13.745;2.88;e6b44dd2-d1fa-49b6-8e7c-de7ccd9c37eb;2025-07-29
4495;631.247;Hohentannen;2020;57097;631.247;610;;;5c9691f0-3914-45b3-a44f-b1fa0d27cfc8;2025-07-29
4846;474.299;Raperswilen;2020;36201;474.299;416;;;0abfae51-fba2-4add-a17e-17113ebe820f;2025-07-29
4696;3560.992;Tägerwilen;2020;421225;6254.291;4924;2693.3;;74b3bdde-0b36-44de-ba89-4b3125bd43d5;2025-07-29
4551;7575.502;Aadorf;2021;737984;13694.212;9343;6118.71;;f03ddedc-70ae-43b9-a227-e8ed37236d30;2025-07-29
4881;2109.962;Amlikon-Bissegg;2021;136718;2109.962;1350;;;2a1139db-3d83-427b-a4c3-a489af105e7e;2025-07-29
4716;1435.293;Bettwiesen;2021;89753;1742.279;1250;301.64;5.347;dfd9d66a-75f0-4f3d-a25e-1b0ebdad4f52;2025-07-29
4911;3232.397;Bürglen (TG);2021;308368;6870.363;3979;3637.967;;7951cace-8b31-4cb3-a66c-f699330d97fa;2025-07-29
4590;754.344;Hüttlingen;2021;77576;775.262;833;;20.919;7887c6b8-86cd-4776-87c7-1cc5d9e7be3c;2025-07-29
4741;1746.681;Lommis;2021;103403;1746.681;1258;;;d8d61e9f-0f1f-41aa-b72b-7c154fcc1ae5;2025-07-29
4826;1858.242;Mammern;2021;72700;2434.422;686;572.219;3.96;031344c6-3e54-4dd5-bb47-fa8153786be1;2025-07-29
4446;746.84;Sommeri;2021;67292;746.84;630;;;1b15a6c3-de91-4bc2-ae74-4a6369bec0c5;2025-07-29
4871;2699.001;Wagenhausen;2021;173445;3347.322;1771;648.321;;6faad556-9de7-44c1-84eb-44171234c57b;2025-07-29
4643;1199.91;Bottighofen;2022;228603;2686.064;2694;1484.329;1.825;85d12bf9-4478-4115-8a48-d9a48bceaef8;2025-07-29
4646;2435.545;Ermatingen;2022;355130;5071.901;3764;2632.322;4.035;ed952ec6-864a-405a-b43b-65ebe4bb5a35;2025-07-29
4724;2478.601;Eschlikon;2022;430093;5698.75;4829;3220.149;;fffb5e25-7052-4e82-ba4f-27fef692a1db;2025-07-29
4416;999.102;Hefenhofen;2022;123080;1679.041;1294;679.939;;a050e0c3-8c32-4b89-a0cd-1558f9519a3a;2025-07-29
4590;586.839;Hüttlingen;2022;78221;586.839;849;;;1d32eda1-e8ca-4c4f-a0d8-a27b703eada5;2025-07-29
4606;542.14;Stettfurt;2022;106010;1332.008;1237;789.869;;1dfbe106-8977-45c0-b1d7-2dc6134d1b8a;2025-07-29
4711;2817.2;Affeltrangen;2023;240928;3225.533;2824;408.333;;0c0c411b-9cb8-49eb-ac0d-530d0d213d20;2025-07-29
4801;985.818;Berlingen;2023;101931;2125.618;948;1139.165;0.635;f07efe20-4793-4b3e-93fe-5baf57fbb65a;2025-07-29
4656;1231.245;Güttingen;2023;175072;2195.937;1703;961.696;2.997;c04e7e7f-f7ab-4540-b8e1-edd95e0e3657;2025-07-29
4590;547.952;Hüttlingen;2023;81776;547.952;874;;;cf23dbc6-93a2-4122-8e0b-047d7f3f188e;2025-07-29
4501;2513.238;Kradolf-Schönenberg;2023;316526;4547.029;3844;2033.791;;3566032f-0883-45dd-b4ba-ede9d814aa37;2025-07-29
4591;1886.705;Matzingen;2023;235059;3195.828;3096;1309.123;;1d4b7875-03da-45dd-a74f-15318fdf5fd7;2025-07-29
4841;1502.57;Pfyn;2023;182504;2788.236;2247;1285.666;;9530f14c-4784-4ee3-90d9-8a383a3d8256;2025-07-29
4506;2774.742;Sulgen;2023;363170;5669.517;4036;2884.999;9.775;4836a7ea-24af-44af-b552-1cd249eb9d2a;2025-07-29
4451;1250.063;Uttwil;2023;161243;2546.555;1906;1293.124;3.368;35571e80-6b26-4694-b7de-038610719a87;2025-07-29
4951;1893.385;Wigoltingen;2023;226525;3157.01;2642;1262.302;1.323;73579bcf-91d9-4b9e-bca3-d2732ee67915;2025-07-29
